review,review_date,review_star
The stand is functional at best. Definitely not worth 1000 rs. The finishing is very bad and there are a lot of scratches out of the box. The connections are not rigid and doesn't feel robust. ,18 Nov 2021,2.0
holds my 16 inch laptop well. it's kinda wobbly but it's not really a problem considering it's price. I would rate it 4.5/5,23 Mar 2023,5.0
"As i bought it on flash sale i was not so sure about the quality. But now as i got to use the product, it is AMAZING. Strong, Steady and looks great too.
It worked for my 14"" laptop. Not sure about the price range tho.",22 Oct 2021,5.0
Looks decent till but i used to think ki laptop ko size jattrai hunx but hudo rainx anyway laptop chahi addiyo ,16 Aug 2025,5.0
Laptop stand is pretty good. It is also good for heavy  laptop. Anyone can buy this stand for your laptop.,05 Apr 2022,5.0
"the stand does not stand firmly on the floor. one side of the locker is okay to go but the next side locker doesn't stay in place.
  i still need support to make it firmly stay in the floor and locker to get locked correctly.

 is there any exchange available? if yes, how can I? ",07 Apr 2025,2.0
Good for this price range but the lower grip is not so good because it's not gripping properly on the table. ,07 Jul 2025,4.0
"Bought it previously from the same seller, this time it was slightly different and of a lower quality. ",29 Nov 2024,5.0
10/10. I was skeptic but this product is very good. Gives proper support. It works good for my 14in laptop too.  ,10 Apr 2025,5.0
Ramro xa hai laptop stand Tara stand ko aauta khutta sani aauta thulo xa tara tesle teti farak pardaina.  ,13 Apr 2025,5.0
Very sturdy and good grips. Also loving the pouch it comes in.,10 Oct 2021,5.0
I had been using 1 weeks... It is of outstanding quality and hold my Asus a15 laptop properly. ,25 Oct 2025,5.0
"Works.
A bit flimsy in build quality but as long as it holds the laptop, fine with me.  ",27 Jul 2025,4.0
Nice stand works really well for my legion 2024 model as well which us 16” and 2.5 kg. ,16 Nov 2024,5.0
Works just fine. The build is okayish. The grip rubber at the ends gets off easily.  ,27 Feb 2025,4.0
Satisfied with the product. Intact and strong.,07 Mar 2022,5.0
I have ordered 7 mode foldable but i got 6 mode only so not believable store,08 Aug 2022,4.0
It's small comparing to the images posted by the reviewer. Check my images.,23 Nov 2021,3.0
The product quality is quite good and satisfying.👍,21 Oct 2023,5.0
The laptop stand is of good quality. I am totally satisfied with this stand.  ,03 Dec 2024,5.0
Great Product works as shown but bag ko quality naramro theo natrw everything else is great... just airflow rw height ko lai great option..,26 Jul 2024,4.0
just looking like a wow 🤯,07 Dec 2023,5.0
"its been more than 6 months , works perfectly well and definitely improved my laptop thermals too  ",12 Aug 2024,5.0
7 level vaneko thiyo buy Garda but 6 level matra cha but does the job done for me. yetiko price ma thikai ho. ,09 Mar 2022,4.0
"the stand part is not attached, there is no pin holding that part, i would like to return this and hope i'll get a proper one",13 Oct 2022,2.0
Had to take out the excess aluminum by myself but a very nice product for the price! Would recommend other brands if you need a more premium finish though but can't complain for this price! ,11 Jan 2022,5.0
I received it in good condition and i uses for few minutes and it was good ,07 Jun 2025,5.0
Great product with lots of adjustments available. Product is worth buying. ,27 Jun 2025,5.0
"the items is not as mentioned in photo. 
there is no one stand . i want to return this and get a new one 
",06 Jan 2023,1.0
"Title says 7 level adjustment, got 6level even though there is written 7 level in box. very poor service from the seller and size is not recommended for above 15 inch laptop. Very disappointed.",29 Aug 2021,1.0
highly satisfied with the product,31 Jan 2022,5.0
product Sahi Lago malai laptop chiplela ki vanne lageko thiyo but chiplidaina rahexa hallauda Pani ,07 Dec 2021,5.0
500 ma best nai product ho hai best nai xa study ko lagi best nai huncha ,29 Jun 2025,5.0
dai haru lai ali garo vayo  . bato apthyaro vayera tara chitai deliever vayo .. ramro xa thankyou,14 Oct 2022,5.0
Very good and good value for money ,13 Nov 2023,5.0
"Delivery : 9/10 
Quality : 9/ 10
Packaging : 9/10 
Price : 9/10",26 Jun 2022,4.0
"didn't lived up to my expectations though, too slippery in glass table. ",12 Dec 2024,5.0
quality is so good more stable stand so you can buy without hesitation  ,13 Mar 2025,5.0
It was nice product it is more easy and comfortable to use😊,23 Jul 2023,5.0
Wow recieved a good and quality product at a reasonable price thank you DaraZ ……❤️❤️❤️🔥🔥🔥,24 Jan 2022,5.0
"very good product
",11 Dec 2023,5.0
This is very nice product . It is suitable for 15 inch laptop also. ,27 Mar 2025,5.0
"Value for money
Quality was good
Packaging was also good


",10 Mar 2024,4.0
"little flimsy for my 17inch laptop. But for the price, its okay. ",12 Jun 2025,4.0
It easily supports heavy gaming laptop like acer nitro.,26 Jun 2023,5.0
"Does what it's supposed to do, would recommend it.",20 Oct 2021,5.0
"Sturdy, easy to carry and affordable just what students need. ",08 Apr 2025,5.0
Really sturdy amazing product. Highly recommended,23 Jul 2021,5.0
"What do you think of the quality and appearance? 
Medium  ",4 weeks ago,4.0
item is good for this price my laptop is comfortable now ,19 Oct 2025,5.0
great product. Loved it. its been a year using this now. ,31 Dec 2024,5.0
works great on 17 inch laptop. Been using for a month and it's working fine,02 Mar 2022,5.0
sturdy . exactly what it says . like it for the price.  ,07 Nov 2024,5.0
Worth it at this price..its sturdy and of good quality  ,20 Jan 2025,5.0
i mean its aluminium works as advertised pretty sturdy ,16 Mar 2025,5.0
"I was supposed to get PAN Bill for 2 product but got the bill for only one .. Kindly Provide the authentic Bill..
Product is Good !!",27 Nov 2023,3.0
"Good quality product, nice packaging, timely delivery ",17 Apr 2025,5.0
"The product is really good.
Thankyou❤️",28 Mar 2023,5.0
pretty good for the price but one of the stand wasn't fitting properly ,23 Feb 2023,4.0
Really helpful. As good as expected,29 Dec 2021,5.0
Can hold 15 inch laptop easily. Looks like it can last long. Thanks,14 Mar 2022,5.0
been a month since using it.its a decent product ,14 Jul 2025,5.0
"nice , very useful and safe at the office desk.. ",11 Mar 2025,5.0
Very comfortable to use. Quality is also good.  ,20 Oct 2025,5.0
Sturdy and holds laptop well..,22 Apr 2022,5.0
Love it... worth the price...,26 Dec 2021,5.0
Perfectly fitting for 16 inch laptop.,22 Oct 2021,5.0
thik xa not that amazing not that bad either  ,02 Mar 2025,5.0
I got damaged one. Online vanera damaged product pathako hoki,01 Nov 2022,1.0
Excellent! Very useful product for frequent laptop users. ,08 Feb 2024,5.0
"Ekdam ramro cha , jasto dekhako testai chai  ",31 May 2025,5.0
product overall thikai xa value for money  ,14 Aug 2025,4.0
good quality product at affordable price!  ,13 May 2025,5.0
wrong products delivery ,27 Sep 2022,1.0
it's a good deal with discounted price 👍 ,11 May 2025,5.0
"Waa jawaf nahi, kada xa, kam ,dam and sab ",3 weeks ago,5.0
I have received a defective piece with a screw missing. ,14 Sep 2022,1.0
I just luv the product according  to its price its nice,12 Nov 2022,5.0
The product is good. Value for the money ,25 Sep 2025,4.0
"gifted my friend, had a good experience  ",15 Feb 2025,5.0
Nice product .loved it ❤️,14 Jul 2023,5.0
good it seems robust to use for laptop ,09 Jun 2025,5.0
it is worth it. exactly like I ordered ,21 Jan 2025,5.0
dami lagyo price anushar ko ramro xa ,13 Jul 2025,5.0
Nice product and price is reasonable ,30 Mar 2025,5.0
it's good. now I will be able to work comfortably,30 Dec 2021,5.0
decent. Could be more better it was wide enough ,30 Aug 2024,4.0
"Good product, but little difficult to change step otherwise works well",01 Jul 2024,5.0
good enough for old laptops also ,06 Oct 2025,4.0
little small but value for money ,10 Jun 2025,4.0
👍🏻,31 May 2023,5.0
"Exactly as shown.
Does the job! ",02 Jun 2025,5.0
Nice product. Totally worth it  ,21 Apr 2025,5.0
"Exactly as shown.
Does the job! ",02 Jun 2025,5.0
its really helpfull.i loved it ,18 Apr 2025,5.0
good acording to price range  ,15 Mar 2025,5.0
screw got displaced within a week time.,13 Mar 2023,1.0
amazing product and delivery guy so humble and appreciates work.,06 Jul 2024,5.0
Good Product. Fast Delivery  ,09 Jun 2025,5.0
babal cha. totally worth it  ,27 Dec 2024,5.0
"Received a faulty one, so disappointed",17 Jul 2022,1.0
it was not not as expected  ,27 Apr 2025,5.0
Liked it. Recommend product ,26 Feb 2025,5.0
It is quite a good product. ,13 Jun 2025,5.0
"love it. super sturdy 
recommended ❤",22 Aug 2022,5.0
it's good for this price  ,08 Jul 2025,5.0
it's actually quite nice  ,08 Dec 2024,5.0
it's pretty good worth it ,16 Sep 2025,4.0
"Nice, useful and strong product ❤️",22 Dec 2022,4.0
"Thekai छ, but small then expected ",12 Jan 2022,5.0
गज्जब लाग्यो मलाई चाँही । Heavy रैछ अनि फिनिसिंग पनि राम्रो । तत्कालका लागि डेस्कटप मनिटर किन्नु परेन यसर्थ २२ देखि २५ हजार जोगियो । धन्यवाद दराज । ,29 May 2023,4.0
durable and easy to use. ,12 Aug 2025,4.0
"good quality and sturdy as well 💯 
ekdam sajilo ramro cha so kasaile buy gardai hunuhuncha vane dhukka saga yei seller bata kinda huncha hai ans specially thank you seller and daraz team ❤️",19 Mar 2024,5.0
It is much better than a plastic one holds laptop really well really happy wth the product,05 Jul 2021,4.0
not bad product ta thikai ho Tara delver chai late idk ridder ko Galti ho ya seller ko ,27 Mar 2024,4.0
Good product! Holds my 15 inch laptop just fine.,14 Jun 2024,5.0
best quality in this price range 😄,02 Jul 2024,5.0
,31 Oct 2022,5.0
"For the price, this laptop stand is decent but has some drawbacks. While functional, it’s not the most durable option. The paint tends to chip off easily, and the rubber pads on the feet wore out fairly quickly. 
I'd recommend setting it up in a fixed spot rather than moving it frequently to prolong its lifespan.",12 Nov 2024,3.0
"working fine. But I don't suggest to buy if your laptop is heavier than 1.5KG or bigger in size than 13 inch. it's good for MacBook and similar laptops. you cant move it from one to another position normally, if you do so your stand might get broken or your laptop may get damaged. so if you can fix your laptop in one place and your table is placed in the corner of your room then you can be benefited by this product otherwise don't buy it. 
 ",29 Mar 2025,3.0
"Overall build quality is nice for the price. My only gripe is the slider feet which is inserted in one of the 7 holes is made of plastic. Making it as critical point of failure. As the whole laptop weight stands on it, there is high to medium change of breakage within a year. Rest of the build is aluminum and decently sturdy. A good product nonetheless if you intend to use for a year or two at decentish price.
",02 Sep 2025,3.0
good ,06 Aug 2024,5.0
It's great so far. I'm interested in finding out how long it's going to last. ,20 Mar 2024,4.0
Perfect. ,30 Jul 2024,5.0
the product is nice but it is a little bit small for macbook 16 inch,07 Apr 2024,4.0
Worth the price highly recommended ❤️,06 Jun 2024,5.0
Good ,21 Jul 2024,4.0
It works but it feels extremely cheap. Has a slight wobble. But for the price it ok .  ,11 Nov 2024,3.0
Good as of now,09 Jul 2024,4.0
"crack has appeared only after some months and i've barely used it, asked for help from seller and reply was literal cold 'no' and after that left me on seen.",21 Dec 2023,1.0
Ramro lagyo. Tara expensive raixa,08 Oct 2023,3.0
Ramro xa,01 Jul 2024,5.0
"Good quality aluminum is good, but shot.",14 Apr 2024,5.0
"really good product if you are just looking for a strong and rigid stand for your pc. 
Worth the buy",26 Nov 2023,5.0
Good but it was small as expected,02 May 2024,4.0
quantity dherai ramro xa..,22 May 2024,4.0
"Looks good, yet to use it.",28 Sep 2021,4.0
"sano xa
not suitable for bigger laptop especially gaming laptops.
ani rust lagako xa steel screw ma.

",16 Nov 2023,1.0
"Good Product. Works as advertised. Nothing loose or any issue. Once, the laptop is placed on it, it's sturdy and doesn't wobble. Got it for Rs. 471 total(including Rs. 25 delivery charge to Daraz seller center). For the price of even around Rs. 500, it's a good product.",20 Nov 2023,5.0
Liked it. Hope it will last long,12 Apr 2023,5.0
ramro xa,05 Jun 2024,4.0
Very Durable. Amazing quality.,19 Apr 2024,5.0
thikai ho ,21 May 2024,5.0
"honestly, didn't think it'd be reliable or amazing  but boy i was wrong, i recommended this piece to few of my friends and cousins, and they loved it as well. it's a fixture on my desk now and has been for months.

if you are looking for a laptop stand, yes, you should consider this! (bonus: it's easily portable)",19 Aug 2023,5.0
It arrived very quickly and is perfect for what I was looking for. A few scratches but nit noticeable. ,26 Jul 2023,5.0
The build quality is nice. Euta side che ali sturdy Lagena.But definitely worth the price and is good especially for light weight laptops.,29 Aug 2023,4.0
,05 Oct 2021,4.0
,17 Aug 2025,5.0
Simply nice!,09 Apr 2024,5.0
Was smaller then expected but its premium quality.,28 Dec 2023,5.0
the product is nice!!! delivery was also quick and very well packaged ,01 Nov 2023,5.0
it's nice i like it,20 Mar 2024,4.0
Best Quality,19 Mar 2024,5.0
Bears 16inch lenovo legion easily. Stable and good quality.,07 Dec 2023,5.0
Thikai xa,15 Mar 2024,4.0
"Works great and is sturdy.

#review_wrapup",31 Dec 2023,4.0
Legs are wobbly but does the job. Nicely packaged. Rubber feet provides nice grip on table so it's not slippery. Overall Nice product.,12 Nov 2021,4.0
This is an excellent product. Built material aluminum vayera ekdam daro xa. Mero 16 inch ko laptop mazale support garyo without any problem. Very much recommend at this price. Plus carrying case is a nice touch.,30 May 2022,5.0
I had requested to either refund or replace the product but haven’t heard from your store yet.. it has been over two weeks now !! You have canceled my fund request and have not responded to my messages. ,11 Aug 2022,5.0
"Great product for the price range. Sturdy and has a good grip. I use it with an external keyboard and mouse, and this stand works well for it.",06 Jan 2023,5.0
"Got the product delivered, the next day. 
The material looks good, can also be used for heavy gaming laptops. 
While other things look good, the hinges are kinda loose, not a perfect fit, which reduces the overall usage experience... thus only 3 stars...
if you are using an external keyboard for typing the stand seems to be good enough... which I am doing",20 Feb 2022,3.0
"Great product, sturdy and firm. Gets the job done, when at the steepest angle. Make sure to keep the legs flat on the surface to reduce/eliminate wobbling. I recommend using external mouse & keyboard when using a lepton with this. Lastly, done good words for the vendor who tried to give me personalised customer service. Thanks a lot! ",09 Aug 2021,5.0
Not worth the price. It has strength to support the laptop but it is not suitable for laptops larger than 15.6 inch because it is too narrow. Also one of the bars don't align properly in the holes :/ Absolutely not worth RS 1000. It would be a great product it if was around 300 rupees.,26 Jan 2022,3.0
"Doesn't wobble, sturdy and genuine product. One of the legs wobble a bit, but hasn't cause any problem yet. Maybe the problem was caused on the time of delivery.",08 Oct 2021,4.0
"Took expensive to the same product compared to other store herein daraz. 
Product Quality is good. Ordered twice from here and twice from the other seller. ",27 Jul 2022,5.0
I ordered it after reading a lot of positive reviews on Daraz (which is rare). I wasn't disappointed. compact yet sturdy laptop stand.,22 Feb 2022,5.0
kasam ma achammai  parey.yetiko price ma  yesto  ramro  product first time  pako  mailye.aru  store ma  outof stock xaw tai pani  price ekdam  high xaw but  yo price ma  delivery charge garera pani  sasto  ma  yesto  ramro iam speachless first when i  open it.mataw normal hola vanera sochyeko  thiye but amazing yar beyond the expectation  from daraz for the  first time.,06 Mar 2023,5.0
j hos product thick mero chai paisa usul vayo. socheko bhanda product size chai sano lagyo. aru thick chha. neck problem vairathyo laptop chalayera now neck problem thorai vaye ni relief hune jasto lagyo,19 Nov 2021,4.0
Its good and sturdy....except one leg is a bit loose than the other. Doesn't seem like a problem though,11 Oct 2022,5.0
"Bought it about 2 weeks ago and have been using it for a while. While most of the reviews here found it good, I didn't. For me, the product felt not well-engineered. The axes of the hinges are not sturdy and the handles kept slipping from their holes whenever I had to do micro-adjustments to the laptop. Don't get me wrong -- the stand handles any weight of the laptop because it's made from metal and can give the keyboard a much needed slope to make it easy to write. But the lack of sturdyness of the stand and the small width of the stand make typing hard because the laptop felt wobbly. If you are going to attach an external keyboard, then this product might be a good buy as you won't be touching a laptop. But, if you are going to be typing on the laptop then you are going to not like it.

PS: My laptop is a 15.6 inch laptop and I bought this laptop mainly so that the keyboard will feel inclined and the sharp edges of the laptop wont hurt my hand.",29 Nov 2021,1.0
This laptop stand is not very practical. It's not very sturdy and it's not very adjustable. I tried using it for my laptop and it just didn't work well. I ended up just using a stack of books instead.,20 Sep 2022,1.0
"holder, euta ko grip alik loose thiyo compared to the other.. anyway i dont think it will be a problem will using but organise garda chai thorai🤏",06 Feb 2023,4.0
"Highly recommended. It helps to keep your laptop cool. Received the product exactly how it is shown. Very sturdy, I don't fear my laptop falling off.

External keyboard & mouse would be suitable if you get this stand.

Worth your money 👍",17 Nov 2021,5.0
"I’m glad I came on this website, and not just because the product I wanted was less expensive here than it was elsewhere. From the moment of order through delivery, the service was excellent, and the communication was courteous and professional.",02 Dec 2021,1.0
"I guess you get what you paid for. The product is okay and it is holding my 16inch macbook properly.
One of the stand is very lose, so it's a bit hard to setup because of it. I don't think it'll give any issues if I don't move it too much, but will have to wait to find that out.",15 Nov 2022,4.0
Surprisingly heavier that expected but the locks are quite sturdy so till now no issue. The aluminium alloy is heavier that other laptop stand i have used.,25 Oct 2021,5.0
"Gets the job done!

It isn't real aluminium by any chance, feels more like a plastic with aluminium looking coat.
But hey I am not an industrial scientist.

Doesn't feel durable if thrown around but supports my 13"" MacBook pro.
It is slightly wobbly at times and even when fully expanded horizontally it's only 5"" long which feels a little short for my 13"" mac.
Wouldn't recommend for bigger or sturdier laptops.

What can I say, there's room for improvement in the product. The idea is great. The implementation is subpar.
I had higher expectations with the product so keep yours low.

The rubber grips are fairly good though!",29 Jan 2022,3.0
"good product but right side leg is bit uneven and doesn't snugly fit inside the notched groove(pwal). it tends to wobble, but with the load of laptop, the wobbling issue is eliminated.",30 Jan 2023,5.0
It's worth the price. If you are looking for some simple stand nothing fancy then I highly recommend you to buy this. ,15 Dec 2021,5.0
Its worth it and very useful to elevate the laptop for good airflow and posture adjustment and fits my 17 inch laptop perfectly,13 Dec 2021,5.0
"Working great, I use it for 17"" heavy laptop. I use separate wireless mouse and keyboard. Been using it for more than a week now. I don't take out the laptop much, if you do then will take a bit of time to adjust it.",30 Jan 2022,5.0
Product धेरै ramro chha ।sochejasto deliver vayo। fully satisfied about this product । Thank you daraz ,08 Mar 2023,5.0
"The product a little flimsy but it worked really well with my computer. I recommend it. 
I wouldn't normally mention this on the review but the seller was kind enough to call me to see if I liked the product. Five stars.",13 Sep 2021,5.0
"Product is decent and it does the job right. The cover cloth I received with this was absolutely trash through.

Recommended.",15 Jun 2022,4.0
The product is really good. One thing that I would expect it is to have a lock when expanded. But that is not much of a problem.,21 Oct 2022,5.0
